text;response_json
Найди минимальное, максимальное, среднее и медианное значения;"{""category"":""spreadsheet-analysis"",""confidence"":0.978,""required_table_info"":{""needs_column_headers"":true,""needs_header_styles"":false,""needs_cell_values"":true,""needs_cell_styles"":false,""needs_column_metadata"":false}}"
Посчитай среднюю зарплату;"{""category"":""spreadsheet-analysis"",""confidence"":0.968,""required_table_info"":{""needs_column_headers"":true,""needs_header_styles"":false,""needs_cell_values"":true,""needs_cell_styles"":false,""needs_column_metadata"":false}}"
Найди 10 городов с самым большим населением в списке;"{""category"":""spreadsheet-search"",""confidence"":0.965,""required_table_info"":{""needs_column_headers"":true,""needs_header_styles"":false,""needs_cell_values"":true,""needs_cell_styles"":false,""needs_column_metadata"":false}}"
"Сгенерируй набор данных с колонками ""Имя"", ""Фамилия"", ""Пол"", ""Дата рождения"", ""Город"" заданной размерности";"{""category"":""spreadsheet-generation"",""confidence"":0.983,""required_table_info"":{""needs_column_headers"":false,""needs_header_styles"":false,""needs_cell_values"":false,""needs_cell_styles"":false,""needs_column_metadata"":false}}"
Примени чередующиеся цвета строк для улучшения читаемости;"{""category"":""spreadsheet-formatting"",""confidence"":0.95,""required_table_info"":{""needs_column_headers"":true,""needs_header_styles"":true,""needs_cell_values"":false,""needs_cell_styles"":true,""needs_column_metadata"":false}}"
"Объедини поля ""Имя"" и ""Фамилия"" в одно поле ""Полное имя""";"{""category"":""spreadsheet-transformation"",""confidence"":0.921,""required_table_info"":{""needs_column_headers"":true,""needs_header_styles"":false,""needs_cell_values"":true,""needs_cell_styles"":false,""needs_column_metadata"":true}}"
Создай столбчатую диаграмму по данным о доходах;"{""category"":""data-chart"",""confidence"":0.974,""required_table_info"":{""needs_column_headers"":true,""needs_header_styles"":false,""needs_cell_values"":true,""needs_cell_styles"":false,""needs_column_metadata"":false}}"
Построй график изменения цен за год;"{""category"":""data-chart"",""confidence"":0.949,""required_table_info"":{""needs_column_headers"":true,""needs_header_styles"":false,""needs_cell_values"":true,""needs_cell_styles"":false,""needs_column_metadata"":false}}"
Построй гистограмму распределения величины;"{""category"":""data-histogram"",""confidence"":0.987,""required_table_info"":{""needs_column_headers"":true,""needs_header_styles"":false,""needs_cell_values"":true,""needs_cell_styles"":false,""needs_column_metadata"":true}}"
Как использовать функцию ВПР для поиска данных в таблице?;"{""category"":""spreadsheet-assistance"",""confidence"":0.95,""required_table_info"":{""needs_column_headers"":false,""needs_header_styles"":false,""needs_cell_values"":false,""needs_cell_styles"":false,""needs_column_metadata"":false}}"
Нарисуй зимний пейзаж;"{""category"":""uncertain"",""confidence"":1.0,""required_table_info"":{""needs_column_headers"":false,""needs_header_styles"":false,""needs_cell_values"":false,""needs_cell_styles"":false,""needs_column_metadata"":false}}"
